"district","rep name","party aff","phone number","webpage url"
1,"Bryan Hughes","R","(512) 463-0101","https://senate.texas.gov/member.php?d=1"
2,"Bob Hall","R","(512) 463-0102","https://senate.texas.gov/member.php?d=2/"
3,"Robert Nichols","R","(512) 463-0103","https://senate.texas.gov/member.php?d=3"
4,"Brandon Creighton","R","(512) 463-0104","https://senate.texas.gov/member.php?d=4"
5,"Charles Schwertner","R","(512) 463-0105","https://senate.texas.gov/member.php?d=5"
6,"Carol Alvarado","D","(512) 463-0106","https://senate.texas.gov/member.php?d=6"
7,"Paul Bettencourt","R","(512) 463-0107","https://senate.texas.gov/member.php?d=7"
8,"Angela Paxton","R","(512) 463-0108","https://senate.texas.gov/member.php?d=8"
9,"Kelly Hancock","R","(512) 463-0109","https://senate.texas.gov/member.php?d=9"
10,"Beverly Powell","D","(512) 463-0110","https://senate.texas.gov/member.php?d=10"
11,"Larry Taylor","R","(512) 463-0111","https://senate.texas.gov/member.php?d=11"
12,"Jane Nelson","R","(512) 463-0112","https://senate.texas.gov/member.php?d=12"
13,"Borris Miles","D","(512) 463-0113","https://senate.texas.gov/member.php?d=13"
14,"Kirk Watson","D","(512) 463-0114","https://senate.texas.gov/member.php?d=14"
15,"John Whitmire","D","(512) 463-0115","https://senate.texas.gov/member.php?d=15"
16,"Nathan Johnson","D","(512) 463-0116","https://senate.texas.gov/member.php?d=16/"
17,"Joan Huffman","R","(512) 463-0117","https://senate.texas.gov/member.php?d=17/"
18,"Lois Kolkhorst","R","(512) 463-0118","https://senate.texas.gov/member.php?d=18"
19,"Pete Flores","R","(512) 463-0119","https://senate.texas.gov/member.php?d=19"
20,"Juan ""Chuy"" Hinojosa","D","(512) 463-0120","https://senate.texas.gov/member.php?d=20"
21,"Judith Zaffirini","D","(512) 463-0121","https://senate.texas.gov/member.php?d=21"
22,"Brian Bartwell","R","(512) 463-0122","https://senate.texas.gov/member.php?d=22"
23,"Royce West","D","(512) 463-0123","https://senate.texas.gov/member.php?d=23"
24,"Dawn Buckingham","R","(512) 463-0124","https://senate.texas.gov/member.php?d=24"
25,"Donna Campbell","R","(512) 463-0125","https://senate.texas.gov/member.php?d=25"
26,"Jose Menendez","D","(512) 463-0126","https://senate.texas.gov/member.php?d=26"
27,"Eddie Lucio, Jr.","D","(512) 463-0127","https://senate.texas.gov/member.php?d=27"
28,"Charles Perry","R","(512) 463-0128","https://senate.texas.gov/member.php?d=28"
29,"Jose Rodriguez","D","(512) 463-0129","https://senate.texas.gov/member.php?d=29"
30,"Pat Fallon","R","(512) 463-0130","https://senate.texas.gov/member.php?d=30"
31,"Kel Seliger","R","(512) 463-0131","https://senate.texas.gov/member.php?d=31"
